Date,ABB.NS,ESCORTS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS
2023-03-21,3306.23,1837.66,747.62,1248.43,1031.34
2023-03-22,3206.96,1827.35,745.89,1247.13,1034.48
2023-03-23,3255.94,1797.2,739.9,1233.94,1021.39
2023-03-24,3242.62,1773.19,738.72,1239.41,1001.17
2023-03-27,3221.21,1783.21,741.94,1246.86,1016.73
2023-03-28,3234.82,1825.85,747.97,1236.67,1021.48
2023-03-29,3285.98,1814.86,751.57,1242.02,1015.44
2023-03-31,3260.5,1830.49,761.86,1281.87,1059.22
2023-04-03,3268.83,1812.39,762.34,1266.52,1059.4
2023-04-05,3269.22,1783.89,782.78,1277.92,1056.86
2023-04-06,3291.45,1811.52,788.75,1276.44,1063.94
2023-04-10,3291.98,1816.55,785.01,1281.56,1056.4
2023-04-11,3175.52,1834.37,787.3,1262.3,1061.63
2023-04-12,3103.92,1859.63,797.53,1282.19,1066.31
2023-04-13,3129.55,1899.12,801.1,1247.09,1070.33
2023-04-17,3128.58,1920.03,788.89,1129.58,1075.76
2023-04-18,3107.94,1915.92,785.55,1130.52,1063.44
2023-04-19,3101.5,1926.57,788.44,1106.15,1068.74
2023-04-20,3085.27,1918.97,791.38,1098.25,1066.03
2023-04-21,3055.23,1885.28,792.65,1101.79,1067.38
2023-04-24,3117.34,1893.7,799.07,1100.85,1071.47
2023-04-25,3232.35,1902.7,787.71,1099.59,1079.67
2023-04-26,3294.41,1905.42,791.33,1101.97,1073.33
2023-04-27,3310.86,1877.3,795.68,1118.76,1080.12
2023-04-28,3317.02,1917.71,798.81,1124.6,1099.86
2023-05-02,3340.5,1922.35,798.64,1146.77,1109.2
2023-05-03,3351.62,1920.85,801.43,1139.32,1099.68
2023-05-04,3537.7,1984.69,817.84,1143.27,1112.36
2023-05-05,3609.03,2001.2,769.48,1130.3,1109.52
2023-05-08,3690.31,2023.94,778.38,1136.13,1123.22
2023-05-09,3694.63,2013.05,778.41,1140.71,1126.7
2023-05-10,3702.78,1981.98,782.0,1134.02,1134.44
2023-05-11,3746.45,2003.42,782.52,1127.6,1127.04
2023-05-12,3826.13,1996.55,789.43,1117.82,1128.88
2023-05-15,3741.6,2013.78,793.22,1129.62,1131.1
2023-05-16,3795.02,2002.16,788.67,1134.96,1115.0
2023-05-17,3803.18,2048.53,784.44,1119.34,1108.41
2023-05-18,3782.41,2017.31,787.57,1118.54,1106.02
2023-05-19,3779.74,1992.24,788.48,1139.09,1109.61
2023-05-22,3778.24,2003.96,785.68,1160.55,1115.54
2023-05-23,3797.21,1994.76,783.84,1167.06,1115.34
2023-05-24,3776.73,1984.98,773.59,1165.8,1108.84
2023-05-25,3825.55,1982.03,770.62,1170.92,1108.7
2023-05-26,3886.49,2008.26,773.59,1182.68,1138.94
2023-05-29,3912.11,2024.86,783.02,1179.94,1145.35
2023-05-30,3910.61,2037.4,783.62,1188.42,1145.05
2023-05-31,4004.06,2106.61,771.22,1183.44,1122.31
2023-06-01,3828.17,2126.21,767.94,1184.52,1119.29
2023-06-02,3902.8,2113.48,769.14,1181.79,1115.63
2023-06-05,3913.91,2125.34,768.13,1186.79,1125.65
2023-06-06,3937.83,2126.94,765.74,1163.59,1126.61
2023-06-07,4028.52,2158.44,769.71,1172.64,1135.15
2023-06-08,3990.86,2100.22,770.19,1167.05,1135.83
2023-06-09,4028.62,2067.31,771.1,1151.72,1127.79
2023-06-12,4028.86,2089.23,766.41,1175.37,1128.79
2023-06-13,4192.24,2116.82,767.7,1187.11,1145.46
2023-06-14,4221.4,2114.84,766.87,1183.06,1159.55
2023-06-15,4186.27,2083.38,757.43,1170.69,1159.87
2023-06-16,4208.83,2109.61,767.34,1175.1,1171.16
2023-06-19,4199.86,2122.68,768.01,1177.24,1159.53
2023-06-20,4246.78,2093.54,769.62,1185.79,1161.94
2023-06-21,4237.51,2106.42,783.07,1182.11,1165.21
2023-06-22,4144.39,2092.82,786.9,1165.91,1152.12
2023-06-23,4114.5,2086.86,786.85,1150.86,1142.69
2023-06-26,4158.8,2130.08,783.05,1155.72,1133.97
2023-06-27,4167.68,2129.89,794.08,1163.73,1134.38
2023-06-28,4280.84,2124.95,802.49,1176.65,1149.39
2023-06-30,4292.39,2183.36,814.57,1214.99,1158.82
2023-07-03,4280.99,2176.86,823.38,1213.36,1188.56
2023-07-04,4231.93,2147.48,827.41,1223.77,1176.32
2023-07-05,4260.95,2196.52,801.12,1225.73,1174.39
2023-07-06,4270.22,2178.17,801.93,1222.64,1199.04
2023-07-07,4269.83,2148.89,794.95,1210.17,1196.7
2023-07-10,4240.62,2219.73,793.05,1209.22,1242.79
2023-07-11,4366.39,2228.52,789.2,1226.91,1256.27
2023-07-12,4394.73,2250.61,781.8,1212.99,1257.65
2023-07-13,4277.15,2250.12,785.7,1241.92,1246.41
2023-07-14,4254.35,2308.0,787.33,1297.28,1245.36
2023-07-17,4288.46,2296.1,803.8,1294.55,1270.81
2023-07-18,4358.24,2277.65,803.13,1342.09,1281.6
2023-07-19,4360.81,2262.51,806.77,1341.86,1291.32
2023-07-20,4079.86,2276.88,808.52,1318.71,1289.76
2023-07-21,4101.01,2275.91,802.29,1211.45,1249.83
2023-07-24,4194.42,2290.52,803.56,1216.0,1224.55
2023-07-25,4205.15,2297.56,812.28,1214.18,1223.77
2023-07-26,4268.61,2360.05,809.45,1227.14,1243.66
2023-07-27,4270.17,2378.5,801.05,1231.05,1232.09
2023-07-28,4382.84,2463.47,786.85,1219.54,1244.47
2023-07-31,4418.36,2465.99,790.54,1233.37,1255.0
2023-08-01,4386.19,2489.4,795.83,1242.01,1237.26
2023-08-02,4277.83,2523.19,785.42,1234.42,1224.04
2023-08-03,4243.82,2475.75,779.74,1241.2,1218.89
2023-08-04,4306.99,2501.05,791.02,1253.98,1235.46
2023-08-07,4392.3,2475.95,790.56,1267.31,1242.5
2023-08-08,4344.46,2517.46,789.92,1264.76,1235.02
2023-08-09,4387.45,2513.67,790.21,1268.58,1243.16
2023-08-10,4372.07,2509.06,783.19,1263.76,1248.7
2023-08-11,4392.98,2503.67,775.03,1248.06,1253.97
2023-08-14,4226.11,2516.0,771.25,1267.81,1268.79
2023-08-16,4172.88,2624.72,769.0,1290.51,1267.75
2023-08-17,4186.32,2709.68,764.73,1284.18,1249.47
2023-08-18,4153.13,2768.63,761.6,1263.49,1258.72
2023-08-21,4189.71,2765.62,761.0,1278.59,1244.99
2023-08-22,4196.6,2849.18,757.74,1277.09,1244.69
2023-08-23,4175.55,2816.65,759.61,1280.91,1246.07
2023-08-24,4208.88,2901.76,756.12,1295.15,1225.13
2023-08-25,4124.39,2963.23,747.59,1291.96,1219.47
2023-08-28,4143.44,2944.59,755.37,1287.91,1207.32
2023-08-29,4196.64,2957.31,761.38,1289.73,1195.76
2023-08-30,4222.97,3158.66,755.83,1305.65,1194.62
2023-08-31,4257.56,3067.87,752.36,1305.93,1189.16
2023-09-01,4170.01,3043.25,753.91,1313.57,1191.95
2023-09-04,4187.36,2948.81,758.63,1332.9,1190.99
2023-09-05,4315.14,2973.62,754.01,1345.46,1197.36
2023-09-06,4372.95,3061.12,763.87,1344.14,1199.88
2023-09-07,4322.72,3053.2,771.22,1333.9,1201.51
2023-09-08,4332.38,3093.26,777.23,1336.99,1209.51
2023-09-11,4488.15,3100.35,781.25,1343.23,1222.56
2023-09-12,4277.34,3008.48,783.69,1365.65,1204.89
2023-09-13,4218.26,3029.26,787.05,1363.15,1210.92
2023-09-14,4242.65,3029.12,786.57,1370.97,1212.03
2023-09-15,4255.47,3060.78,795.59,1375.2,1214.28
2023-09-18,4198.05,3078.45,779.94,1357.19,1203.71
2023-09-20,4206.55,3045.97,748.65,1355.78,1176.88
2023-09-21,4155.19,3017.66,743.69,1366.24,1168.31
2023-09-22,4068.52,3036.11,732.35,1361.15,1163.44
2023-09-25,4058.7,3141.47,732.99,1341.13,1156.28
2023-09-26,4086.2,3119.38,736.18,1328.85,1157.29
2023-09-27,4113.56,3224.01,731.01,1334.63,1170.34
2023-09-28,3985.63,3113.55,729.5,1309.57,1153.14
2023-09-29,3982.28,3092.97,730.74,1305.93,1158.53
2023-10-03,3976.16,3034.27,722.0,1304.61,1145.26
2023-10-04,3884.38,3103.07,732.3,1314.02,1143.29
2023-10-05,3952.69,3149.14,735.27,1331.4,1143.26
2023-10-06,4016.14,3101.8,734.45,1345.27,1145.19
2023-10-09,3983.69,3108.46,725.93,1342.32,1135.43
2023-10-10,4074.06,3295.29,730.05,1360.24,1140.45
2023-10-11,4066.96,3301.6,737.11,1359.56,1158.55
2023-10-12,4096.75,3315.0,742.02,1333.26,1160.7
2023-10-13,4109.52,3281.06,735.27,1302.01,1160.65
2023-10-16,4160.3,3268.29,732.32,1304.74,1158.06
2023-10-17,4162.38,3243.39,737.88,1312.29,1163.59
2023-10-18,3982.33,3202.36,727.61,1310.57,1148.15
2023-10-19,3978.3,3219.69,725.31,1304.29,1139.34
2023-10-20,3901.68,3143.17,729.07,1298.47,1135.85
2023-10-23,3831.13,3043.54,721.05,1281.54,1118.12
2023-10-25,3819.28,3017.08,716.48,1262.56,1115.52
2023-10-26,3846.24,3042.91,700.63,1252.79,1099.98
2023-10-27,3895.07,3055.29,703.38,1272.05,1119.4
2023-10-30,3955.02,3072.72,711.02,1269.01,1142.47
2023-10-31,3993.02,3041.89,706.9,1261.04,1130.32
2023-11-01,3940.25,2969.84,705.94,1247.91,1135.01
2023-11-02,3961.58,2966.44,707.02,1262.65,1146.28
2023-11-03,4049.57,2987.46,710.37,1280.07,1146.03
2023-11-06,4084.75,2990.71,715.52,1293.2,1155.56
2023-11-07,4089.7,3034.99,712.05,1294.12,1148.06
2023-11-08,4154.56,3055.29,714.11,1281.87,1154.03
2023-11-09,4188.52,3003.58,711.28,1266.94,1141.51
2023-11-10,4119.34,3075.29,714.08,1261.45,1143.66
2023-11-13,4142.12,3046.89,712.79,1265.79,1143.51
2023-11-15,4138.29,3048.06,720.26,1299.84,1164.19
2023-11-16,4112.97,3094.57,722.15,1331.54,1166.29
2023-11-17,4163.79,3145.55,720.59,1324.76,1163.74
2023-11-20,4223.99,3127.05,720.64,1323.89,1160.68
2023-11-21,4222.34,3167.25,726.74,1326.1,1175.28
2023-11-22,4114.58,3114.04,724.16,1343.43,1179.87
2023-11-23,4139.99,3129.14,728.35,1335.55,1183.48
2023-11-24,4141.74,3136.03,733.52,1324.63,1182.69
2023-11-28,4134.84,3103.75,731.87,1329.51,1182.93
2023-11-29,4123.95,3081.51,746.47,1345.08,1186.05
2023-11-30,4294.68,3059.17,746.3,1340.98,1174.56
2023-12-01,4263.1,3112.49,744.67,1338.36,1182.89
2023-12-04,4499.71,3120.55,770.53,1349.46,1195.68
2023-12-05,4709.45,3109.91,777.37,1339.88,1204.35
2023-12-06,4604.31,3131.71,779.34,1358.63,1215.89
2023-12-07,4610.53,3160.51,780.61,1350.89,1213.89
2023-12-08,4612.48,3054.32,791.5,1374.16,1213.24
2023-12-11,4651.4,3078.89,790.44,1371.72,1215.02
2023-12-12,4587.7,3032.62,782.59,1360.24,1197.58
2023-12-13,4632.45,3035.77,780.82,1335.32,1202.47
2023-12-14,4656.79,3054.12,790.04,1383.65,1217.39
2023-12-15,4698.28,3039.66,793.1,1454.56,1232.93
2023-12-18,4750.07,3043.93,792.69,1441.62,1245.48
2023-12-19,4702.02,3009.31,791.35,1436.04,1263.81
2023-12-20,4483.78,2894.67,793.32,1415.86,1248.52
2023-12-21,4551.94,2898.51,807.54,1415.49,1266.01
2023-12-22,4624.33,2881.08,799.95,1440.28,1267.24
2023-12-26,4636.33,2890.6,805.5,1422.82,1273.67
2023-12-27,4599.65,2871.17,815.48,1444.15,1278.01
2023-12-28,4511.57,2873.7,816.42,1440.05,1287.25
2023-12-29,4542.56,2896.81,818.33,1421.85,1277.07
2024-01-01,4549.71,2880.55,812.99,1429.64,1279.69
2024-01-02,4568.56,2804.12,813.47,1414.02,1290.29
2024-01-03,4640.41,2786.84,800.93,1373.1,1276.26
2024-01-04,4688.22,2775.77,809.52,1394.02,1282.85
2024-01-05,4695.61,2723.72,805.38,1412.31,1288.31
2024-01-08,4618.45,2771.59,796.41,1403.33,1278.26
2024-01-09,4781.17,2741.73,790.21,1409.32,1274.88
2024-01-10,4796.03,2752.99,792.81,1400.65,1309.26
2024-01-11,4733.99,2780.04,789.49,1376.97,1343.7
2024-01-12,4648.58,2793.15,785.75,1486.22,1354.39
2024-01-15,4618.4,2817.52,800.88,1522.48,1377.51
